id,fecha,canal,consulta,categoria,motivo,respuesta
C001,11/02/2026,correo,¿Cómo solicito un producto del catálogo?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.80, groundedness=0.89","Para solicitar un producto del catálogo, debes ingresar al portal interno de Valtx, abrir el formulario F-01 (Solicitud de producto/servicio) y seleccionar el código del producto o servicio deseado. Luego, indica la cantidad y el área solicitante, y adjunta la justificación si es necesario."
C002,13/02/2026,chat,¿Cuáles son los pasos para pedir un servicio nuevo?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.66, groundedness=0.93","Para pedir un servicio nuevo, sigue estos pasos:

1. Ingresar al portal interno y abrir el formulario F-01 (Solicitud de producto/servicio).
2. Indicar el código del servicio solicitado, la cantidad y el área solicitante.
3. Adjuntar la justificación cuando el monto supere el límite del área.
4. Enviar el formulario.
5. La solicitud pasa a revisión y aprobación, donde se puede modificar o cancelar si no ha sido aprobada."
C003,18/02/2026,formulario,¿Dónde encuentro el formulario de solicitud?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.73, groundedness=0.82","Puedes encontrar el formulario F-01 de solicitud de producto/servicio en el portal interno de Valtx, específicamente en la sección correspondiente a ""Solicitudes""."
C004,20/02/2026,correo,¿Qué información debo incluir en una solicitud?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.73, groundedness=0.68",No se proporciona información específica sobre qué información debe incluir una solicitud en el fragmento de contexto proporcionado.
C005,25/02/2026,chat,¿Puedo cancelar una solicitud ya enviada?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.82, groundedness=0.84","Sí, puedes cancelar una solicitud ya enviada, siempre y cuando no haya sido aprobada."
C006,2/03/2026,correo,¿Cuál es el plazo para devolver un producto?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.78, groundedness=0.84",El plazo para devolver un producto es de 15 días calendario desde la recepción del producto.
C007,4/03/2026,teléfono,¿Qué necesito para hacer una devolución?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.73, groundedness=0.75","Para realizar una devolución, necesitas: 1) el producto sin uso, 2) con empaque original y 3) el número de solicitud correspondiente."
C008,6/03/2026,chat,¿Cómo funciona la garantía de los productos?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.72, groundedness=0.88","La garantía de los productos de Valtx cubre defectos de fábrica durante 12 meses desde la fecha de compra. Para reclamar la garantía, es necesario presentar el producto sin uso, con empaque original y el número de solicitud correspondiente. En caso de que el producto esté dañado o no cumpla con los requisitos de devolución, se requiere evaluación del equipo comercial para determinar la procedencia de la devolución."
C009,9/03/2026,correo,¿Qué descuento aplica para pedidos de 60 unidades?,RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.74, groundedness=0.89","Según la política de descuentos por volumen, un pedido de 60 unidades no alcanza el umbral de 50 unidades, por lo que no aplica el descuento del 5%."
C010,11/03/2026,chat,¿Y para un pedido de 120 unidades cuánto de descuento hay?,RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.77, groundedness=0.80","Para un pedido de 120 unidades, se aplica un descuento del 10%."
